MPAArating,distributor,domestic,genre,name,production_budget,release_year,series,worldwide
PG,Buena Vista,201151353,Fantasy,Cinderella (2015),$95 million,2015,Series: Disney Live Action Reimaginings,543514353
PG-13,Fox,228433663,Sci-Fi,The Martian,$108 million,2015,No,630161890
PG-13,Lionsgate,281723902,Action / Adventure,The Hunger Games: Mockingjay - Part 2,$160 million,2015,Series: The Hunger Games,653428261
PG-13,Universal,353007020,Action,Furious 7,$190 million,2015,Series: The Fast and the Furious,1516045911
PG,Universal,336045770,Animation,Minions,$74 million,2015,Series: Despicable Me,1159398397
PG,Buena Vista,356461711,Animation,Inside Out,$175 million,2015,No,857611174
PG-13,Buena Vista,459005868,Action / Adventure,Avengers: Age of Ultron,$250 million,2015,Series: Avengers,1405403694
PG-13,Universal,652270625,Action / Adventure,Jurassic World,$150 million,2015,Series: Jurassic Park,1671713208
PG-13,Buena Vista,936662225,Sci-Fi Fantasy,Star Wars: The Force Awakens,$245 million,2015,Series: Star Wars,2068223624
R,Focus Features,26068955,Romantic Comedy,That Awkward Moment,$8 million,2014,No,40468955
R,Universal,26307600,Drama,A Walk Among the Tombstones,$28 million,2014,No,53181600
PG-13,Relativity,26766213,Romance,The Best of Me,$26 million,2014,No,35926213
R,Relativity,27695246,Horror,Oculus,$5 million,2014,No,44030246
PG-13,Lionsgate/Summit,28842237,Sports Drama,Draft Day,N/A,2014,No,29462046
PG,TriStar,30127963,Sports Drama,When the Game Stands Tall,$15 million,2014,No,30127963
R,Sony / Screen Gems,30577122,Horror,Deliver Us From Evil,$30 million,2014,No,87937815
PG-13,Relativity,30697999,Action Thriller,3 Days to Kill,$28 million,2014,No,52597999
PG-13,Universal,30703100,Music Drama,Get On Up,N/A,2014,No,33448971
R,Open Road Films,31424003,Comedy,Chef,N/A,2014,No,45967935
R,Open Road Films,32381217,Crime Drama,Nightcrawler,$8.5 million,2014,No,38697217
R,Paramount,32462372,Horror,Paranormal Activity: The Marked Ones,$5 million,2014,Series: Paranormal Activity,90904854
R,Paramount,33680992,Crime Drama,The Gambler,$25 million,2014,No,39280992
R,Warner Bros.,34296320,Comedy,This is Where I Leave You,$19.8 million,2014,No,41296320
PG-13,Focus Features,35893537,Drama,The Theory of Everything,$15 million,2014,No,123726688
PG,Buena Vista,36457627,Sports Drama,Million Dollar Arm,$25 million,2014,No,39227580
R,Fox Searchlight,37880356,Drama,Wild (2014),N/A,2014,No,52501541
R,Sony / Columbia,38543473,Comedy,Sex Tape,$40 million,2014,No,126069509
PG,Relativity,38934842,Adventure,Earth to Echo,$13 million,2014,No,45336704
PG-13,Lionsgate,39322544,Action,The Expendables 3,N/A,2014,Series: The Expendables,214657577
PG,Warner Bros.,42024533,Family,Dolphin Tale 2,$36 million,2014,Series: Dolphin Tale,57824533
R,Fox Searchlight,42340598,Comedy / Drama,Birdman,$18 million,2014,No,103215094
R,Lionsgate/Summit,43037835,Action,John Wick,$20 million,2014,Series: John Wick,88761661
R,Universal,43139300,Western Comedy,A Million Ways to Die in the West,$40 million,2014,No,87189756
PG-13,Buena Vista,43577636,Action,Need for Speed,$66 million,2014,No,203277636
PG-13,Weinstein Company,44137712,Comedy,St. Vincent,N/A,2014,No,54837234
PG-13,Weinstein Company,45090374,Fantasy Drama,The Giver,$25 million,2014,No,66980456
PG-13,Warner Bros.,46294610,Romantic Comedy,Blended,$40 million,2014,No,128034610
R,Warner Bros.,47047013,Musical,Jersey Boys,$40 million,2014,No,67669013
R,Warner Bros.,47119388,Drama,The Judge,$50 million,2014,No,84419388
PG-13,Warner Bros. (New Line),47602194,Thriller,Into The Storm,$50 million,2014,No,161702194
R,Sony / Screen Gems,48637684,Romantic Comedy,About Last Night (2014),$12.5 million,2014,No,49002684
PG,Fox,50151543,Animation,The Book of Life (2014),$50 million,2014,No,99783556
PG-13,Warner Bros. (New Line),50474843,Drama,If I Stay,$11 million,2014,No,78874843
PG-13,Paramount,50577412,Action Thriller,Jack Ryan: Shadow Recruit,$60 million,2014,Series: Jack Ryan,135511030
PG,Focus Features,50837305,Animation,The Boxtrolls,$60 million,2014,No,109285033
PG-13,Universal,50856010,Horror,Ouija,$5 million,2014,Series: Ouija,103590271
PG,Buena Vista,51183113,Family Comedy,Muppets Most Wanted,$50 million,2014,Series: The Muppets,80383290
PG-13,Paramount,52076908,Drama,Selma,$20 million,2014,No,66787908
PG-13,Sony / Screen Gems,52543632,Thriller,No Good Deed (2014),$13.2 million,2014,No,54323210
PG,Buena Vista,54240821,Drama,The Hundred-Foot Journey,$22 million,2014,No,88880821
R,Warner Bros.,54445357,Comedy,Horrible Bosses 2,$42 million,2014,No,107670357
PG-13,Sony / Columbia,58607007,Sci-Fi Action,RoboCop (2014),$100 million,2014,Series: Robocop,242688965
PG-13,Universal,56280355,Action Horror,Dracula Untold,$70 million,2014,No,217124280
PG,Buena Vista,59165787,Animation,Planes: Fire & Rescue,$50 million,2014,Series: Planes,151386640
R,Fox Searchlight,59301324,Comedy,The Grand Budapest Hotel,$25 million,2014,No,174801324
PG-13,Fox,59700064,Drama,Son of God,N/A,2014,No,67800064
PG,Freestyle Releasing,60755732,Drama,God's Not Dead,$2 million,2014,Series: God's Not Dead,64667874
PG,Open Road Films,64251541,Animation,The Nut Job,$42 million,2014,Series: The Nut Job,120885527
PG-13,Fox,65014513,Drama,Exodus: Gods and Kings,$140 million,2014,No,268175631
PG-13,Sony / Screen Gems,65182182,Comedy,Think Like a Man Too,$24 million,2014,Series: Think Like a Man,70181428
PG,Buena Vista,66954149,Family,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",$28 million,2014,No,101379287
R,Universal,71962800,Thriller,The Purge: Anarchy,$9 million,2014,Series: The Purge,111928365
PG-13,Paramount,72688614,Action / Adventure,Hercules (2014),$100 million,2014,No,244819862
PG-13,Sony / Columbia,78031620,Action Drama,The Monuments Men,$70 million,2014,No,154984035
R,Fox,82390774,Action Comedy,Let's Be Cops,$17 million,2014,No,138224951
PG,Fox,83350911,Animation,Penguins of Madagascar,$132 million,2014,Series: Madagascar,373015621
PG-13,Fox,83911193,Comedy,The Other Woman (2014),$40 million,2014,No,196710396
R,Warner Bros. (New Line),84273813,Horror,Annabelle,$6.5 million,2014,Series: Annabelle,257047661
R,Warner Bros. (New Line),84525432,Comedy,Tammy,$20 million,2014,No,100525432
R,Sony / Columbia,85817906,War,Fury (2014),$68 million,2014,No,211817906
PG,Sony / Columbia,85911262,Musical,Annie (2014),$65 million,2014,No,133821816
PG-13,Universal,86208010,Comedy,Dumb and Dumber To,$40 million,2014,Series: Dumb and Dumber,169837010
PG-13,Weinstein Company,91125683,Drama,The Imitation Game,N/A,2014,No,233555708
PG,TriStar,91443253,Drama,Heaven is for Real,$12 million,2014,No,101332962
PG-13,Universal,92168600,Thriller,Non-Stop,$50 million,2014,No,222809600
PG-13,Warner Bros.,100206256,Sci-Fi Action,Edge of Tomorrow,$178 million,2014,No,370541256
PG-13,Paramount,101200044,Drama,Noah,$125 million,2014,No,362637473
R,Sony / Columbia,101530738,Thriller,The Equalizer,$55 million,2014,Series: Equalizer,192330738
PG-13,Fox,102427862,Sci-Fi Thriller,The Maze Runner,$34 million,2014,Series: Maze Runner,348319861
R,Warner Bros.,106580051,Period Action,300: Rise of An Empire,$110 million,2014,Series: 300,337580051
PG,Fox,111506430,Animation,Mr. Peabody & Sherman,$145 million,2014,No,275698039
PG,Fox,113746621,Family Adventure,Night at the Museum: Secret of the Tomb,$127 million,2014,Series: Night at the Museum,363204635
PG-13,Universal,115637895,War Drama,Unbroken,$65 million,2014,No,163442937
PG-13,Fox,124872350,Drama,The Fault in our Stars,$12 million,2014,No,307166834
R,Universal,126663600,Sci-Fi Action,Lucy,$40 million,2014,No,463360063
PG,Buena Vista,128002372,Musical,Into the Woods,$50 million,2014,No,213116401
G,Fox,131538435,Animation,Rio 2,$103 million,2014,Series: Rio,500101972
PG-13,Universal,134938200,Comedy,Ride Along,$25 million,2014,Series: Ride Along,154468902
R,Universal,150157400,Comedy,Neighbors,$18 million,2014,Series: Neighbors,270665134
PG-13,Lionsgate/Summit,150947895,Action / Adventure,Divergent,$85 million,2014,Series: Divergent,288885818
R,Fox,167767189,Thriller,Gone Girl,$61 million,2014,No,369330363
PG,Fox,177002924,Animation,How to Train Your Dragon 2,$145 million,2014,Series: How to Train Your Dragon,621537519
PG-13,Paramount,188020017,Sci-Fi Adventure,Interstellar,$165 million,2014,No,677463813
PG-13,Paramount,191204754,Action / Adventure,Teenage Mutant Ninja Turtles (2014),$125 million,2014,Series: Teenage Mutant Ninja Turtles,493333584
R,Sony / Columbia,191719337,Action Comedy,22 Jump Street,$50 million,2014,Series: Jump Street,331333876
PG-13,Warner Bros.,200676069,Sci-Fi Action,Godzilla (2014),$160 million,2014,Series: Godzilla,529076069
PG-13,Sony / Columbia,202853933,Action / Adventure,The Amazing Spider-Man 2,N/A,2014,Series: Spider-Man,708982323
