domestic,name,production_budget,release_year,worldwide
"$385,069",The Face of Love,"$4,000,000",2014,"$1,158,877"
"$373,375",Joe,"$4,000,000",2014,"$373,375"
"$354,704",Prison,"$4,000,000",1988,"$354,704"
"$24,801,212",Gifted,"$7,000,000",2017,"$36,964,656"
"$24,567,751",Fargo,"$7,000,000",1996,"$51,204,567"
"$23,247,539",Kingdom Come,"$7,000,000",2001,"$23,393,939"
"$21,000,000",The Man with the Golden Gun,"$7,000,000",1974,"$97,600,000"
"$20,257,000",Action Jackson,"$7,000,000",1988,"$20,257,000"
"$5,502,773",Slums of Beverly Hills,"$5,000,000",1998,"$5,502,773"
"$5,321,508",Once Upon a Time in the West,"$5,000,000",1969,"$5,378,425"
"$5,308,707",Made,"$5,000,000",2001,"$5,476,060"
"$5,211,842",La mala educaciÃ³n,"$5,000,000",2004,"$40,311,842"
"$5,010,163",Moon,"$5,000,000",2009,"$10,676,073"
"$1,095,369",Made in Dagenham,"$8,000,000",2010,"$15,644,196"
"$1,071,240",And When Did You Last See Your Father?,"$8,000,000",2008,"$2,476,491"
"$700,261",El Chicano,"$8,000,000",2019,"$700,261"
"$690,290",The Secret of Kells,"$8,000,000",2010,"$3,582,797"
"$590,817",Prefontaine,"$8,000,000",1997,"$590,817"
"$6,047,856",The Way of the Gun,"$9,000,000",2000,"$13,061,935"
"$4,950,029",The Sun is Also a Star,"$9,000,000",2019,"$5,605,079"
"$4,886,216",Hamlet 2,"$9,000,000",2008,"$4,934,104"
"$4,777,465",Igby Goes Down,"$9,000,000",2002,"$4,777,465"
"$4,333,569",PCU,"$9,000,000",1994,"$4,333,569"
$0,To Write Love On Her Arms,"$3,400,000",2015,$0
$0,Carousel,"$3,380,000",1956,"$3,604"
"$13,092,006",Whiplash,"$3,300,000",2014,"$38,969,037"
"$8,093,373",Bella,"$3,300,000",2007,"$12,405,473"
"$7,563,397",Cidade de Deus,"$3,300,000",2003,"$32,059,295"
"$1,069,454",50 to 1,"$10,000,000",2014,"$1,069,454"
"$1,011,054",Owning Mahowny,"$10,000,000",2003,"$1,011,054"
"$952,820",The Ten Commandments,"$10,000,000",2007,"$1,051,907"
"$20,766,000",The Dead Zone,"$10,000,000",1983,"$20,766,000"
"$20,384,136",Valentine,"$10,000,000",2001,"$20,384,136"
"$20,342,852",A Prairie Home Companion,"$10,000,000",2006,"$26,716,191"
"$20,342,161",Reno 911!: Miami,"$10,000,000",2007,"$21,851,362"
"$19,843,795",Jane Austen's Mafia,"$10,000,000",1998,"$30,143,795"
"$531,806",Standing Ovation,"$5,600,000",2010,"$531,806"
"$385,422",Khiladi 786,"$5,600,000",2012,"$14,683,763"
"$27,766",[Rec] 2,"$5,600,000",2010,"$18,527,766"
"$159,616,327",The Sting,"$5,500,000",1973,"$159,616,327"
"$1,340,891",Dear Frankie,"$4,600,000",2005,"$3,099,369"
"$708,776",The Assassination of Richard Nixon,"$4,600,000",2004,"$4,880,143"
"$514,237",Le nom des gens,"$4,600,000",2011,"$9,261,711"
"$434,417",Savage Grace,"$4,600,000",2008,"$968,805"
$728,Out of the Blue,"$4,600,000",2007,"$731,767"
"$3,076,820",Jawbreaker,"$3,000,000",1999,"$3,076,820"
"$2,962,051",Basquiat,"$3,000,000",1996,"$2,962,051"
"$2,912,606",Tsotsi,"$3,000,000",2006,"$11,537,539"
"$2,848,587",Letters to God,"$3,000,000",2010,"$3,237,452"
"$22,168,359",A Nightmare On Elm Street: The Dream Child,"$6,000,000",1989,"$22,168,359"
"$21,305,259",National Lampoonâ€™s Van Wilder,"$6,000,000",2002,"$39,241,323"
"$20,400,000",Duel in the Sun,"$6,000,000",1946,"$20,400,000"
"$18,621,249",Best in Show,"$6,000,000",2000,"$20,695,413"
"$18,556,799",Unplanned,"$6,000,000",2019,"$18,556,799"
$0,Braid,"$1,660,000",2019,"$80,745"
"$30,500,000",From Here to Eternity,"$1,650,000",1953,"$30,500,000"
"$4,000,000",You Can't Take It With You,"$1,644,000",1938,"$4,000,000"
"$6,026,908",Foolish,"$1,600,000",1999,"$6,026,908"
"$5,400,000",She Wore a Yellow Ribbon,"$1,600,000",1949,"$5,400,000"
"$1,152,411",Get Real,"$2,000,000",1999,"$1,152,411"
